seasonality,weather_condition,category,store_id,region,total_units_sold,total_revenue,avg_daily_sales,avg_inventory_level,days_count,category_baseline,seasonal_index,impact_classification
Autumn,Snowy,Clothing,S004,North,7132,373842.33,95.09,145,57,104.39,91.09,NORMAL_IMPACT
Autumn,Snowy,Clothing,S004,South,6926,349576.11,94.88,144,49,105.08,90.29,NORMAL_IMPACT
Autumn,Snowy,Clothing,S004,West,6718,333619.64,93.31,132,49,103.08,90.52,NORMAL_IMPACT
Autumn,Snowy,Clothing,S005,East,5091,255602.18,86.29,128,41,104.19,82.82,NORMAL_IMPACT
Autumn,Snowy,Clothing,S005,North,6420,325164.10,93.04,141,51,102.63,90.66,NORMAL_IMPACT
Autumn,Snowy,Clothing,S005,South,5634,270888.06,93.90,141,46,103.10,91.08,NORMAL_IMPACT
Autumn,Snowy,Clothing,S005,West,6111,307731.97,101.85,151,41,104.39,97.57,NORMAL_IMPACT
Autumn,Sunny,Clothing,S001,East,6464,320387.36,97.94,146,51,104.88,93.38,NORMAL_IMPACT
Autumn,Sunny,Clothing,S001,North,6898,362587.17,94.49,148,46,103.17,91.59,NORMAL_IMPACT
Autumn,Sunny,Clothing,S001,South,5569,281976.03,89.82,145,47,101.50,88.50,NORMAL_IMPACT
Autumn,Sunny,Clothing,S001,West,6686,340481.14,90.35,145,52,105.23,85.86,NORMAL_IMPACT
Autumn,Sunny,Clothing,S002,East,6011,251063.11,89.72,135,48,103.62,86.58,NORMAL_IMPACT
Autumn,Sunny,Clothing,S002,North,5816,307449.95,92.32,142,48,101.95,90.56,NORMAL_IMPACT
Autumn,Sunny,Clothing,S002,South,5632,248302.92,92.33,136,44,104.91,88.00,NORMAL_IMPACT
Autumn,Sunny,Clothing,S002,West,6061,297670.13,97.76,152,49,101.23,96.57,NORMAL_IMPACT
Autumn,Sunny,Clothing,S003,East,5656,270953.83,89.78,138,51,104.96,85.54,NORMAL_IMPACT
Autumn,Sunny,Clothing,S003,North,6824,376314.56,98.90,148,54,106.03,93.28,NORMAL_IMPACT
Autumn,Sunny,Clothing,S003,South,5441,260614.76,93.81,145,41,101.72,92.23,NORMAL_IMPACT
Autumn,Sunny,Clothing,S003,West,6336,291615.48,93.18,138,51,103.33,90.18,NORMAL_IMPACT
Autumn,Sunny,Clothing,S004,East,5438,283805.07,95.40,151,45,103.72,91.98,NORMAL_IMPACT
Autumn,Sunny,Clothing,S004,North,5124,250030.10,86.85,131,47,104.39,83.19,NORMAL_IMPACT
Autumn,Sunny,Clothing,S004,South,5241,267049.65,90.36,142,42,105.08,85.99,NORMAL_IMPACT
Autumn,Sunny,Clothing,S004,West,6352,293658.23,96.24,152,44,103.08,93.37,NORMAL_IMPACT
Autumn,Sunny,Clothing,S005,East,7015,369732.94,96.10,143,57,104.19,92.24,NORMAL_IMPACT
Autumn,Sunny,Clothing,S005,North,5776,284348.93,94.69,139,43,102.63,92.26,NORMAL_IMPACT
Autumn,Sunny,Clothing,S005,South,5145,260132.70,88.71,147,44,103.10,86.04,NORMAL_IMPACT
Autumn,Sunny,Clothing,S005,West,7181,324738.10,93.26,147,56,104.39,89.34,NORMAL_IMPACT
Spring,Cloudy,Clothing,S003,South,3147,165933.25,95.36,144,25,101.72,93.75,NORMAL_IMPACT
Spring,Cloudy,Clothing,S001,North,4223,192196.93,91.80,141,33,103.17,88.98,NORMAL_IMPACT
Spring,Cloudy,Clothing,S001,South,2607,127615.22,89.90,139,24,101.50,88.57,NORMAL_IMPACT
Spring,Cloudy,Clothing,S001,West,4212,167894.99,105.30,161,30,105.23,100.06,NORMAL_IMPACT
Spring,Cloudy,Clothing,S002,East,4359,248060.30,96.87,150,34,103.62,93.48,NORMAL_IMPACT
Spring,Cloudy,Clothing,S002,North,3070,152425.54,85.28,132,27,101.95,83.65,NORMAL_IMPACT
Spring,Cloudy,Clothing,S002,South,3670,197403.19,99.19,146,29,104.91,94.54,NORMAL_IMPACT
Spring,Cloudy,Clothing,S002,West,3487,153190.07,94.24,142,27,101.23,93.09,NORMAL_IMPACT
Spring,Cloudy,Clothing,S003,East,3501,171415.69,100.03,143,28,104.96,95.30,NORMAL_IMPACT
Spring,Cloudy,Clothing,S003,North,4127,210958.84,95.98,138,32,106.03,90.52,NORMAL_IMPACT
Spring,Cloudy,Clothing,S001,East,4442,217773.81,100.95,155,31,104.88,96.26,NORMAL_IMPACT
Spring,Cloudy,Clothing,S003,West,3765,184835.83,94.13,134,30,103.33,91.09,NORMAL_IMPACT
Spring,Cloudy,Clothing,S004,East,4761,229232.03,101.30,153,36,103.72,97.66,NORMAL_IMPACT
Spring,Cloudy,Clothing,S004,North,4493,225523.72,89.86,144,36,104.39,86.08,NORMAL_IMPACT
Spring,Cloudy,Clothing,S004,South,4446,196674.49,98.80,141,33,105.08,94.02,NORMAL_IMPACT
Spring,Cloudy,Clothing,S004,West,3887,198552.43,92.55,145,31,103.08,89.79,NORMAL_IMPACT
Spring,Cloudy,Clothing,S005,East,4499,222048.17,91.82,136,36,104.19,88.13,NORMAL_IMPACT
Spring,Cloudy,Clothing,S005,North,4407,211742.37,91.81,138,36,102.63,89.46,NORMAL_IMPACT
Spring,Cloudy,Clothing,S005,South,2758,133414.49,91.93,144,22,103.10,89.17,NORMAL_IMPACT
Spring,Cloudy,Clothing,S005,West,3818,196165.70,95.45,140,29,104.39,91.44,NORMAL_IMPACT
Spring,Rainy,Clothing,S003,North,4359,204074.11,99.07,148,29,106.03,93.44,NORMAL_IMPACT
Spring,Rainy,Clothing,S005,West,3831,200205.15,87.07,132,28,104.39,83.41,NORMAL_IMPACT
Spring,Rainy,Clothing,S001,East,3850,193079.53,89.53,145,32,104.88,85.37,NORMAL_IMPACT
Spring,Rainy,Clothing,S001,North,4074,197959.80,92.59,134,32,103.17,89.75,NORMAL_IMPACT
Spring,Rainy,Clothing,S001,South,3105,169356.94,86.25,137,28,101.50,84.98,NORMAL_IMPACT
Spring,Rainy,Clothing,S001,West,3597,193556.39,94.66,139,27,105.23,89.95,NORMAL_IMPACT
Spring,Rainy,Clothing,S002,East,2788,164629.01,84.48,132,23,103.62,81.53,NORMAL_IMPACT
Spring,Rainy,Clothing,S002,North,3548,185922.98,86.54,133,32,101.95,84.88,NORMAL_IMPACT
Spring,Rainy,Clothing,S002,South,4284,203311.70,95.20,150,36,104.91,90.74,NORMAL_IMPACT
Spring,Rainy,Clothing,S002,West,3829,204925.25,93.39,141,32,101.23,92.25,NORMAL_IMPACT
Spring,Rainy,Clothing,S003,East,4242,221861.93,98.65,155,33,104.96,93.99,NORMAL_IMPACT
Spring,Rainy,Clothing,S003,South,3803,187786.06,92.76,148,31,101.72,91.19,NORMAL_IMPACT
Spring,Rainy,Clothing,S003,West,5145,276106.34,98.94,146,38,103.33,95.76,NORMAL_IMPACT
Spring,Rainy,Clothing,S004,East,3601,204846.48,100.03,147,25,103.72,96.44,NORMAL_IMPACT
Spring,Rainy,Clothing,S004,North,4600,223473.06,97.87,150,30,104.39,93.75,NORMAL_IMPACT
Spring,Rainy,Clothing,S004,South,2868,132808.00,95.60,147,27,105.08,90.98,NORMAL_IMPACT
Spring,Rainy,Clothing,S004,West,3950,232530.78,98.75,144,32,103.08,95.80,NORMAL_IMPACT
Spring,Rainy,Clothing,S005,East,3656,196684.86,98.81,153,29,104.19,94.84,NORMAL_IMPACT
Spring,Rainy,Clothing,S005,North,3674,183058.01,94.21,139,30,102.63,91.79,NORMAL_IMPACT
Spring,Rainy,Clothing,S005,South,4241,229115.61,92.20,138,30,103.10,89.42,NORMAL_IMPACT
Spring,Snowy,Clothing,S001,North,5073,272070.88,95.72,136,35,103.17,92.78,NORMAL_IMPACT
Spring,Snowy,Clothing,S001,East,5060,238855.80,93.70,138,40,104.88,89.34,NORMAL_IMPACT
Spring,Snowy,Clothing,S005,West,5069,278838.89,103.45,154,35,104.39,99.10,NORMAL_IMPACT
Spring,Snowy,Clothing,S005,South,3918,218002.84,91.12,141,32,103.10,88.38,NORMAL_IMPACT
Spring,Snowy,Clothing,S005,North,4669,264243.67,93.38,134,31,102.63,90.98,NORMAL_IMPACT
Spring,Snowy,Clothing,S005,East,4300,198019.06,104.88,145,32,104.19,100.66,NORMAL_IMPACT
Spring,Snowy,Clothing,S004,West,3651,206985.73,93.62,146,29,103.08,90.82,NORMAL_IMPACT
Spring,Snowy,Clothing,S004,South,4472,254997.68,89.44,138,36,105.08,85.12,NORMAL_IMPACT
Spring,Snowy,Clothing,S004,North,4557,247405.05,96.96,150,36,104.39,92.88,NORMAL_IMPACT
Spring,Snowy,Clothing,S004,East,4558,233891.86,96.98,137,36,103.72,93.50,NORMAL_IMPACT
Spring,Snowy,Clothing,S003,West,3020,172922.83,91.52,141,24,103.33,88.57,NORMAL_IMPACT
Spring,Snowy,Clothing,S003,South,5042,232587.06,93.37,141,34,101.72,91.79,NORMAL_IMPACT
Spring,Snowy,Clothing,S003,North,4017,221384.33,105.71,151,30,106.03,99.70,NORMAL_IMPACT
Spring,Snowy,Clothing,S003,East,4685,239213.71,99.68,151,32,104.96,94.97,NORMAL_IMPACT
Spring,Snowy,Clothing,S002,West,4678,230787.97,88.26,137,36,101.23,87.19,NORMAL_IMPACT
Spring,Snowy,Clothing,S002,South,3798,225607.23,108.51,155,30,104.91,103.43,NORMAL_IMPACT
Spring,Snowy,Clothing,S002,North,4670,250956.88,101.52,153,37,101.95,99.58,NORMAL_IMPACT
Spring,Snowy,Clothing,S002,East,4082,204935.89,97.19,148,31,103.62,93.79,NORMAL_IMPACT
Spring,Snowy,Clothing,S001,West,2869,148860.08,92.55,139,24,105.23,87.95,NORMAL_IMPACT
Spring,Snowy,Clothing,S001,South,3848,178939.67,89.49,142,32,101.50,88.17,NORMAL_IMPACT
Spring,Sunny,Clothing,S001,South,2783,123163.15,86.97,129,25,101.50,85.69,NORMAL_IMPACT
Spring,Sunny,Clothing,S001,West,4960,223397.10,97.25,147,40,105.23,92.42,NORMAL_IMPACT
Spring,Sunny,Clothing,S002,East,4785,255804.24,90.28,146,38,103.62,87.13,NORMAL_IMPACT
Spring,Sunny,Clothing,S002,North,5137,240824.34,102.74,152,34,101.95,100.78,NORMAL_IMPACT
Spring,Sunny,Clothing,S002,South,3691,192878.12,94.64,132,30,104.91,90.21,NORMAL_IMPACT
Spring,Sunny,Clothing,S002,West,3449,171480.23,90.76,144,28,101.23,89.66,NORMAL_IMPACT
Spring,Sunny,Clothing,S003,East,3450,160322.88,88.46,134,31,104.96,84.28,NORMAL_IMPACT
Spring,Sunny,Clothing,S003,North,3038,144067.44,89.35,138,27,106.03,84.27,NORMAL_IMPACT
Spring,Sunny,Clothing,S003,South,4185,222516.65,97.33,149,33,101.72,95.68,NORMAL_IMPACT
Spring,Sunny,Clothing,S001,East,4678,235660.68,97.46,153,29,104.88,92.92,NORMAL_IMPACT
Spring,Sunny,Clothing,S003,West,4566,216201.07,87.81,137,39,103.33,84.98,NORMAL_IMPACT
Spring,Sunny,Clothing,S004,East,3139,146381.83,95.12,137,25,103.72,91.71,NORMAL_IMPACT
Spring,Sunny,Clothing,S004,North,3935,189352.03,89.43,145,33,104.39,85.67,NORMAL_IMPACT
Spring,Sunny,Clothing,S004,South,3745,186656.00,101.22,151,28,105.08,96.32,NORMAL_IMPACT
Spring,Sunny,Clothing,S004,West,3594,220964.05,97.14,154,25,103.08,94.24,NORMAL_IMPACT
Spring,Sunny,Clothing,S005,East,3680,165863.34,96.84,141,25,104.19,92.95,NORMAL_IMPACT
Spring,Sunny,Clothing,S005,North,3902,215971.69,86.71,134,32,102.63,84.49,NORMAL_IMPACT
Spring,Sunny,Clothing,S005,South,3574,199658.33,94.05,147,28,103.10,91.23,NORMAL_IMPACT
Spring,Sunny,Clothing,S001,North,3507,156452.45,89.92,145,29,103.17,87.16,NORMAL_IMPACT
Spring,Sunny,Clothing,S005,West,3413,130530.79,100.38,151,27,104.39,96.16,NORMAL_IMPACT
Summer,Cloudy,Clothing,S001,East,7450,372548.67,96.75,146,53,104.88,92.25,NORMAL_IMPACT
Summer,Cloudy,Clothing,S001,North,5208,294617.64,102.12,153,41,103.17,98.98,NORMAL_IMPACT
Summer,Cloudy,Clothing,S001,South,5606,264437.37,86.25,139,47,101.50,84.98,NORMAL_IMPACT
Summer,Cloudy,Clothing,S001,West,6155,273920.51,97.70,148,47,105.23,92.84,NORMAL_IMPACT
Summer,Cloudy,Clothing,S002,East,6021,312162.39,94.08,141,45,103.62,90.79,NORMAL_IMPACT
Summer,Cloudy,Clothing,S002,North,6029,331782.91,91.35,141,43,101.95,89.60,NORMAL_IMPACT
Summer,Cloudy,Clothing,S002,South,5947,299559.87,87.46,141,46,104.91,83.36,NORMAL_IMPACT
Summer,Cloudy,Clothing,S002,West,4936,258669.88,82.27,129,49,101.23,81.26,NORMAL_IMPACT
Summer,Cloudy,Clothing,S003,East,6303,307481.29,90.04,145,47,104.96,85.79,NORMAL_IMPACT
Summer,Cloudy,Clothing,S003,North,5017,250975.67,94.66,145,41,106.03,89.28,NORMAL_IMPACT
Summer,Cloudy,Clothing,S003,South,4648,239188.91,87.70,127,41,101.72,86.22,NORMAL_IMPACT
Summer,Cloudy,Clothing,S003,West,5917,303728.28,91.03,142,47,103.33,88.10,NORMAL_IMPACT
Summer,Cloudy,Clothing,S004,East,6128,282423.62,87.54,137,56,103.72,84.40,NORMAL_IMPACT
Summer,Cloudy,Clothing,S004,North,5528,285507.05,95.31,145,46,104.39,91.30,NORMAL_IMPACT
Summer,Cloudy,Clothing,S004,South,5872,304368.53,99.53,153,44,105.08,94.71,NORMAL_IMPACT
Summer,Cloudy,Clothing,S004,West,5168,278019.14,90.67,142,40,103.08,87.96,NORMAL_IMPACT
Summer,Cloudy,Clothing,S005,East,6354,313477.61,88.25,131,49,104.19,84.70,NORMAL_IMPACT
Summer,Cloudy,Clothing,S005,North,5539,264767.70,90.80,141,41,102.63,88.47,NORMAL_IMPACT
Summer,Cloudy,Clothing,S005,South,5333,300695.22,98.76,142,41,103.10,95.79,NORMAL_IMPACT
Summer,Cloudy,Clothing,S005,West,4958,247876.25,99.16,150,40,104.39,94.99,NORMAL_IMPACT
Summer,Rainy,Clothing,S003,East,6940,340333.63,95.07,147,55,104.96,90.58,NORMAL_IMPACT
Summer,Rainy,Clothing,S003,West,7178,361828.22,101.10,150,56,103.33,97.84,NORMAL_IMPACT
Summer,Rainy,Clothing,S003,South,6468,314318.39,93.74,138,51,101.72,92.16,NORMAL_IMPACT
Summer,Rainy,Clothing,S001,East,6221,357861.48,95.71,145,46,104.88,91.26,NORMAL_IMPACT
Summer,Rainy,Clothing,S001,North,5919,298716.39,98.65,149,43,103.17,95.62,NORMAL_IMPACT
Summer,Rainy,Clothing,S001,South,6182,288250.70,89.59,135,49,101.50,88.27,NORMAL_IMPACT
Summer,Rainy,Clothing,S001,West,5522,294216.98,90.52,138,39,105.23,86.02,NORMAL_IMPACT
Summer,Rainy,Clothing,S002,East,5778,308213.71,93.19,144,50,103.62,89.94,NORMAL_IMPACT
Summer,Rainy,Clothing,S002,North,5926,322302.48,94.06,144,45,101.95,92.27,NORMAL_IMPACT
Summer,Rainy,Clothing,S002,South,5625,290313.65,96.98,146,48,104.91,92.44,NORMAL_IMPACT
Summer,Rainy,Clothing,S002,West,6098,260445.08,95.28,148,47,101.23,94.12,NORMAL_IMPACT
Summer,Rainy,Clothing,S003,North,6361,283591.36,94.94,152,47,106.03,89.54,NORMAL_IMPACT
Summer,Rainy,Clothing,S005,West,5945,300035.27,91.46,142,46,104.39,87.62,NORMAL_IMPACT
Summer,Rainy,Clothing,S005,South,6158,265248.84,100.95,146,44,103.10,97.92,NORMAL_IMPACT
Summer,Rainy,Clothing,S005,North,6275,311677.12,93.66,142,51,102.63,91.25,NORMAL_IMPACT
Summer,Rainy,Clothing,S005,East,5310,292486.90,93.16,134,45,104.19,89.42,NORMAL_IMPACT
Summer,Rainy,Clothing,S004,West,5925,303263.96,97.13,151,43,103.08,94.23,NORMAL_IMPACT
Summer,Rainy,Clothing,S004,South,6675,339792.24,99.63,142,49,105.08,94.81,NORMAL_IMPACT
Summer,Rainy,Clothing,S004,North,6534,367205.47,100.52,151,48,104.39,96.29,NORMAL_IMPACT
Summer,Rainy,Clothing,S004,East,5797,284918.15,92.02,147,51,103.72,88.71,NORMAL_IMPACT
Summer,Snowy,Clothing,S001,West,6623,337348.22,95.99,146,51,105.23,91.21,NORMAL_IMPACT
Summer,Snowy,Clothing,S004,East,5525,248324.41,96.93,144,42,103.72,93.45,NORMAL_IMPACT
Summer,Snowy,Clothing,S003,West,7459,387466.02,103.60,152,49,103.33,100.26,NORMAL_IMPACT
Summer,Snowy,Clothing,S003,South,5294,268142.72,98.04,151,40,101.72,96.38,NORMAL_IMPACT
Summer,Snowy,Clothing,S003,East,6061,302959.88,86.59,131,49,104.96,82.49,NORMAL_IMPACT
Summer,Snowy,Clothing,S003,North,5481,297394.34,92.90,143,44,106.03,87.62,NORMAL_IMPACT
Summer,Snowy,Clothing,S002,West,5184,246027.37,84.98,137,42,101.23,83.95,NORMAL_IMPACT
Summer,Snowy,Clothing,S002,South,5275,256191.57,90.95,138,39,104.91,86.69,NORMAL_IMPACT
Summer,Snowy,Clothing,S002,North,6294,313263.67,92.56,146,49,101.95,90.79,NORMAL_IMPACT
Summer,Snowy,Clothing,S001,North,5983,322453.08,94.97,148,50,103.17,92.05,NORMAL_IMPACT
Summer,Snowy,Clothing,S002,East,6376,320776.80,106.27,161,44,103.62,102.55,NORMAL_IMPACT
Summer,Snowy,Clothing,S001,East,5752,265351.77,92.77,141,43,104.88,88.46,NORMAL_IMPACT
Summer,Snowy,Clothing,S001,South,6078,339046.52,92.09,144,48,101.50,90.73,NORMAL_IMPACT
Summer,Snowy,Clothing,S004,South,6446,352267.51,102.32,158,43,105.08,97.37,NORMAL_IMPACT
Summer,Snowy,Clothing,S004,West,6352,328592.36,93.41,144,52,103.08,90.62,NORMAL_IMPACT
Summer,Snowy,Clothing,S005,East,6122,296661.16,100.36,146,42,104.19,96.33,NORMAL_IMPACT
Summer,Snowy,Clothing,S005,North,5933,315752.19,94.17,140,43,102.63,91.76,NORMAL_IMPACT
Summer,Snowy,Clothing,S005,South,6196,319889.19,99.94,143,46,103.10,96.93,NORMAL_IMPACT
Summer,Snowy,Clothing,S005,West,6423,324546.19,91.76,143,50,104.39,87.90,NORMAL_IMPACT
Summer,Snowy,Clothing,S004,North,6894,351372.04,97.10,138,47,104.39,93.01,NORMAL_IMPACT
Summer,Sunny,Clothing,S003,South,5556,297417.27,89.61,139,49,101.72,88.10,NORMAL_IMPACT
Summer,Sunny,Clothing,S005,West,7622,364153.74,97.72,149,53,104.39,93.61,NORMAL_IMPACT
Summer,Sunny,Clothing,S005,South,5860,318557.87,91.56,134,49,103.10,88.81,NORMAL_IMPACT
Summer,Sunny,Clothing,S005,North,6307,314085.06,87.60,138,53,102.63,85.35,NORMAL_IMPACT
Summer,Sunny,Clothing,S005,East,5150,264117.33,93.64,145,42,104.19,89.87,NORMAL_IMPACT
Summer,Sunny,Clothing,S004,West,5110,259493.94,98.27,144,37,103.08,95.34,NORMAL_IMPACT
Summer,Sunny,Clothing,S004,South,7038,358910.48,93.84,142,52,105.08,89.30,NORMAL_IMPACT
Summer,Sunny,Clothing,S004,North,6751,336744.10,97.84,147,51,104.39,93.72,NORMAL_IMPACT
Summer,Sunny,Clothing,S004,East,5414,256780.74,94.98,138,44,103.72,91.57,NORMAL_IMPACT
Summer,Sunny,Clothing,S003,North,5261,266163.18,99.26,157,43,106.03,93.62,NORMAL_IMPACT
Summer,Sunny,Clothing,S003,East,6265,340166.36,96.38,148,51,104.96,91.83,NORMAL_IMPACT
Summer,Sunny,Clothing,S002,West,6175,325143.90,89.49,143,48,101.23,88.40,NORMAL_IMPACT
Summer,Sunny,Clothing,S002,South,4348,222518.65,92.51,146,37,104.91,88.18,NORMAL_IMPACT
Summer,Sunny,Clothing,S002,North,6166,323726.64,94.86,141,50,101.95,93.05,NORMAL_IMPACT
Summer,Sunny,Clothing,S001,West,6462,362844.28,95.03,147,49,105.23,90.30,NORMAL_IMPACT
Summer,Sunny,Clothing,S002,East,7671,376123.56,97.10,158,50,103.62,93.71,NORMAL_IMPACT
Summer,Sunny,Clothing,S001,South,6666,354465.11,96.61,145,51,101.50,95.18,NORMAL_IMPACT
Summer,Sunny,Clothing,S001,East,4701,269591.68,97.94,139,40,104.88,93.38,NORMAL_IMPACT
Summer,Sunny,Clothing,S003,West,5236,268938.81,93.50,137,46,103.33,90.49,NORMAL_IMPACT
Summer,Sunny,Clothing,S001,North,5339,294298.79,95.34,142,39,103.17,92.41,NORMAL_IMPACT
Winter,Cloudy,Clothing,S003,West,9001,412085.11,128.59,172,53,103.33,124.44,HIGH_IMPACT
Winter,Cloudy,Clothing,S001,East,10922,588818.28,140.03,191,61,104.88,133.51,HIGH_IMPACT
Winter,Cloudy,Clothing,S005,West,10555,564113.31,137.08,182,61,104.39,131.32,HIGH_IMPACT
Winter,Cloudy,Clothing,S005,South,10135,525547.01,136.96,185,56,103.10,132.84,HIGH_IMPACT
Winter,Cloudy,Clothing,S003,North,11270,520072.87,135.78,186,63,106.03,128.06,HIGH_IMPACT
Winter,Cloudy,Clothing,S001,North,10517,518089.27,128.26,174,61,103.17,124.32,HIGH_IMPACT
Winter,Cloudy,Clothing,S005,East,9204,492630.87,122.72,174,57,104.19,117.79,NORMAL_IMPACT
Winter,Cloudy,Clothing,S004,West,10083,464370.14,130.95,174,56,103.08,127.04,HIGH_IMPACT
Winter,Cloudy,Clothing,S004,South,10441,515293.20,128.90,177,61,105.08,122.67,HIGH_IMPACT
