store_id,region,product_id,category,inventory_level,price,discount_pct,inventory_value,stock_status,seasonality,weather_condition
S002,West,P0067,Furniture,74,42.98,10.00,2862.47,NORMAL,Winter,Snowy
S004,North,P0085,Electronics,75,30.51,10.00,2059.43,NORMAL,Winter,Rainy
S003,North,P0031,Electronics,76,12.22,0.00,928.72,NORMAL,Winter,Snowy
S003,North,P0061,Clothing,76,16.65,20.00,1012.32,NORMAL,Winter,Snowy
S004,West,P0153,Furniture,76,75.57,15.00,4881.82,NORMAL,Winter,Rainy
S002,East,P0031,Electronics,78,38.19,10.00,2680.94,NORMAL,Winter,Rainy
S005,West,P0126,Clothing,78,52.96,10.00,3717.79,NORMAL,Winter,Sunny
S003,North,P0083,Toys,79,93.68,0.00,7400.72,NORMAL,Winter,Sunny
S002,North,P0031,Electronics,80,70.09,10.00,5046.48,NORMAL,Winter,Rainy
S004,West,P0129,Furniture,80,11.29,0.00,903.20,NORMAL,Winter,Sunny
S003,North,P0171,Electronics,81,79.50,0.00,6439.50,NORMAL,Winter,Rainy
S005,South,P0116,Furniture,81,47.71,10.00,3478.06,NORMAL,Winter,Rainy
S002,North,P0070,Electronics,82,59.44,10.00,4386.67,NORMAL,Winter,Cloudy
S005,East,P0171,Electronics,82,47.63,15.00,3319.81,NORMAL,Winter,Snowy
S001,North,P0046,Clothing,84,19.05,15.00,1360.17,NORMAL,Winter,Snowy
S004,East,P0061,Clothing,84,88.55,15.00,6322.47,NORMAL,Winter,Sunny
S001,North,P0171,Electronics,85,87.04,0.00,7398.40,NORMAL,Winter,Snowy
S003,East,P0031,Electronics,85,68.35,20.00,4647.80,NORMAL,Winter,Cloudy
S004,East,P0079,Furniture,86,92.09,0.00,7919.74,NORMAL,Winter,Cloudy
S004,West,P0149,Furniture,86,96.38,5.00,7874.25,NORMAL,Winter,Sunny
S002,West,P0068,Electronics,87,36.44,5.00,3011.77,NORMAL,Winter,Snowy
S003,South,P0061,Clothing,87,66.17,10.00,5181.11,NORMAL,Winter,Cloudy
S004,South,P0171,Electronics,87,79.64,0.00,6928.68,NORMAL,Winter,Rainy
S005,North,P0153,Furniture,87,22.67,0.00,1972.29,NORMAL,Winter,Sunny
S005,West,P0070,Electronics,87,51.80,5.00,4281.27,NORMAL,Winter,Snowy
S002,West,P0149,Furniture,88,80.94,10.00,6410.45,NORMAL,Winter,Sunny
S001,West,P0175,Electronics,89,40.69,0.00,3621.41,NORMAL,Winter,Rainy
S003,South,P0096,Toys,89,84.18,10.00,6742.82,NORMAL,Winter,Snowy
S004,South,P0183,Electronics,89,35.10,0.00,3123.90,NORMAL,Winter,Sunny
S005,West,P0129,Furniture,89,55.14,0.00,4907.46,NORMAL,Winter,Rainy
S002,South,P0126,Clothing,90,34.27,20.00,2467.44,NORMAL,Winter,Rainy
S001,West,P0094,Groceries,91,10.46,0.00,951.86,NORMAL,Winter,Rainy
S002,North,P0175,Electronics,91,98.24,10.00,8045.86,NORMAL,Winter,Cloudy
S004,North,P0149,Furniture,91,27.05,5.00,2338.47,NORMAL,Winter,Rainy
S004,South,P0083,Toys,91,80.79,10.00,6616.70,NORMAL,Winter,Sunny
S004,West,P0031,Electronics,91,41.14,5.00,3556.55,NORMAL,Winter,Cloudy
S001,West,P0166,Groceries,92,41.33,0.00,3802.36,NORMAL,Winter,Cloudy
S001,North,P0153,Furniture,93,53.27,0.00,4954.11,NORMAL,Winter,Rainy
S002,East,P0116,Furniture,93,24.47,0.00,2275.71,NORMAL,Winter,Sunny
S002,East,P0126,Clothing,93,63.54,0.00,5909.22,NORMAL,Winter,Snowy
S002,North,P0149,Furniture,93,24.14,0.00,2245.02,NORMAL,Winter,Sunny
S004,East,P0096,Toys,93,91.87,0.00,8543.91,NORMAL,Winter,Cloudy
S003,West,P0116,Furniture,94,90.42,0.00,8499.48,NORMAL,Winter,Snowy
S004,South,P0069,Clothing,94,96.11,20.00,7227.47,NORMAL,Winter,Cloudy
S004,West,P0159,Electronics,94,57.43,10.00,4858.58,NORMAL,Winter,Rainy
S002,East,P0094,Groceries,95,99.00,5.00,8934.75,NORMAL,Winter,Cloudy
S002,North,P0096,Toys,95,79.63,5.00,7186.61,NORMAL,Winter,Snowy
S003,East,P0096,Toys,95,99.52,10.00,8508.96,NORMAL,Winter,Rainy
S005,North,P0031,Electronics,95,37.03,20.00,2814.28,NORMAL,Winter,Sunny
S001,East,P0178,Clothing,96,62.65,0.00,6014.40,NORMAL,Winter,Cloudy
S002,South,P0175,Electronics,96,42.58,10.00,3678.91,NORMAL,Winter,Sunny
S001,North,P0066,Clothing,97,87.25,5.00,8040.09,NORMAL,Winter,Rainy
S002,West,P0085,Electronics,97,20.09,20.00,1558.98,NORMAL,Winter,Rainy
S001,North,P0068,Electronics,98,69.51,5.00,6471.38,NORMAL,Winter,Snowy
S002,East,P0178,Clothing,98,49.93,5.00,4648.48,NORMAL,Winter,Sunny
S003,East,P0066,Clothing,98,42.48,0.00,4163.04,NORMAL,Winter,Rainy
S003,North,P0096,Toys,98,27.42,10.00,2418.44,NORMAL,Winter,Snowy
S003,West,P0096,Toys,98,19.03,5.00,1771.69,NORMAL,Winter,Snowy
S005,East,P0085,Electronics,99,54.78,0.00,5423.22,NORMAL,Winter,Rainy
S005,North,P0017,Toys,99,57.71,10.00,5141.96,NORMAL,Winter,Snowy
S003,East,P0175,Electronics,100,62.78,5.00,5964.10,NORMAL,Winter,Sunny
S004,South,P0031,Electronics,100,85.20,0.00,8520.00,NORMAL,Winter,Sunny
S003,East,P0017,Toys,101,51.83,0.00,5234.83,NORMAL,Winter,Rainy
S003,North,P0183,Electronics,101,36.15,0.00,3651.15,NORMAL,Winter,Snowy
S001,West,P0031,Electronics,102,53.54,0.00,5461.08,NORMAL,Winter,Snowy
S003,North,P0153,Furniture,102,88.53,5.00,8578.56,NORMAL,Winter,Rainy
S003,South,P0171,Electronics,102,16.15,5.00,1564.94,NORMAL,Winter,Sunny
S001,West,P0079,Furniture,103,19.48,10.00,1805.80,NORMAL,Winter,Sunny
S002,North,P0094,Groceries,103,44.98,0.00,4632.94,NORMAL,Winter,Cloudy
S002,West,P0153,Furniture,103,88.57,10.00,8210.44,NORMAL,Winter,Sunny
S003,East,P0149,Furniture,103,83.74,20.00,6900.18,NORMAL,Winter,Rainy
S003,West,P0094,Groceries,103,54.28,5.00,5311.30,NORMAL,Winter,Snowy
S003,West,P0175,Electronics,103,91.10,10.00,8444.97,NORMAL,Winter,Sunny
S005,North,P0187,Clothing,103,47.01,0.00,4842.03,NORMAL,Winter,Cloudy
S001,North,P0175,Electronics,104,92.28,0.00,9597.12,NORMAL,Winter,Cloudy
S003,South,P0083,Toys,104,49.42,0.00,5139.68,NORMAL,Winter,Cloudy
S004,West,P0079,Furniture,104,97.31,10.00,9108.22,NORMAL,Winter,Cloudy
S002,West,P0175,Electronics,105,54.62,0.00,5735.10,NORMAL,Winter,Sunny
S003,North,P0069,Clothing,105,20.76,10.00,1961.82,NORMAL,Winter,Rainy
S001,South,P0125,Clothing,106,13.02,10.00,1242.11,NORMAL,Winter,Cloudy
S001,South,P0175,Electronics,106,22.91,10.00,2185.61,NORMAL,Winter,Sunny
S002,South,P0079,Furniture,106,73.19,0.00,7758.14,NORMAL,Winter,Snowy
S003,North,P0159,Electronics,106,54.36,10.00,5185.94,NORMAL,Winter,Cloudy
S005,West,P0017,Toys,106,56.94,10.00,5432.08,NORMAL,Winter,Rainy
S005,East,P0178,Clothing,108,30.11,20.00,2601.50,NORMAL,Winter,Snowy
S001,South,P0046,Clothing,109,28.11,10.00,2757.59,NORMAL,Winter,Rainy
S004,North,P0159,Electronics,109,37.27,5.00,3859.31,NORMAL,Winter,Rainy
S003,West,P0133,Clothing,110,26.44,20.00,2326.72,NORMAL,Winter,Sunny
S004,West,P0183,Electronics,110,11.37,0.00,1250.70,NORMAL,Winter,Rainy
S005,South,P0149,Furniture,110,80.46,15.00,7523.01,NORMAL,Winter,Sunny
S001,North,P0016,Clothing,111,40.68,5.00,4289.71,NORMAL,Winter,Rainy
S002,South,P0068,Electronics,111,24.11,5.00,2542.40,NORMAL,Winter,Sunny
S004,East,P0149,Furniture,111,69.62,15.00,6568.65,NORMAL,Winter,Cloudy
S004,West,P0175,Electronics,111,56.24,10.00,5618.38,NORMAL,Winter,Rainy
S001,East,P0129,Furniture,112,43.65,10.00,4399.92,NORMAL,Winter,Snowy
S002,South,P0096,Toys,112,66.91,15.00,6369.83,NORMAL,Winter,Rainy
S002,West,P0159,Electronics,112,20.40,15.00,1942.08,NORMAL,Winter,Rainy
S004,North,P0061,Clothing,112,57.12,0.00,6397.44,NORMAL,Winter,Rainy
S005,West,P0171,Electronics,112,68.68,0.00,7692.16,NORMAL,Winter,Cloudy
S005,West,P0183,Electronics,112,24.89,20.00,2230.14,NORMAL,Winter,Rainy
S001,North,P0166,Groceries,113,82.86,10.00,8426.86,NORMAL,Winter,Cloudy
S002,North,P0068,Electronics,113,86.58,0.00,9783.54,NORMAL,Winter,Rainy
S001,South,P0178,Clothing,114,89.43,20.00,8156.02,NORMAL,Winter,Rainy
S003,South,P0070,Electronics,114,18.50,10.00,1898.10,NORMAL,Winter,Sunny
S005,North,P0046,Clothing,114,46.22,5.00,5005.63,NORMAL,Winter,Cloudy
S005,West,P0094,Groceries,114,27.18,0.00,3098.52,NORMAL,Winter,Sunny
S002,East,P0069,Clothing,115,45.22,0.00,5200.30,NORMAL,Winter,Snowy
S002,South,P0187,Clothing,115,31.90,10.00,3301.65,NORMAL,Winter,Snowy
S003,South,P0069,Clothing,115,81.47,5.00,8900.60,NORMAL,Winter,Rainy
S001,West,P0125,Clothing,116,32.38,5.00,3568.28,NORMAL,Winter,Cloudy
S002,North,P0085,Electronics,116,32.90,20.00,3053.12,NORMAL,Winter,Rainy
S002,South,P0070,Electronics,116,74.79,20.00,6940.51,NORMAL,Winter,Cloudy
S002,South,P0159,Electronics,116,54.30,5.00,5983.86,NORMAL,Winter,Cloudy
S003,East,P0067,Furniture,116,40.26,10.00,4203.14,NORMAL,Winter,Snowy
S002,North,P0178,Clothing,117,44.99,10.00,4737.45,NORMAL,Winter,Cloudy
S003,East,P0068,Electronics,117,58.15,5.00,6463.37,NORMAL,Winter,Sunny
S004,East,P0129,Furniture,117,67.45,15.00,6707.90,NORMAL,Winter,Sunny
S001,East,P0067,Furniture,119,82.97,10.00,8886.09,NORMAL,Winter,Rainy
S001,North,P0061,Clothing,119,39.44,5.00,4458.69,NORMAL,Winter,Sunny
S001,West,P0070,Electronics,119,39.60,5.00,4476.78,NORMAL,Winter,Snowy
S002,North,P0183,Electronics,119,63.36,10.00,6785.86,NORMAL,Winter,Sunny
S003,East,P0069,Clothing,119,39.59,0.00,4711.21,NORMAL,Winter,Sunny
S003,North,P0116,Furniture,119,37.17,0.00,4423.23,NORMAL,Winter,Rainy
S004,East,P0175,Electronics,119,26.92,10.00,2883.13,NORMAL,Winter,Cloudy
S004,South,P0068,Electronics,119,33.48,20.00,3187.30,NORMAL,Winter,Rainy
S005,North,P0066,Clothing,119,65.55,10.00,7020.41,NORMAL,Winter,Sunny
S005,North,P0175,Electronics,119,38.88,5.00,4395.38,NORMAL,Winter,Cloudy
S005,South,P0079,Furniture,119,29.86,15.00,3020.34,NORMAL,Winter,Rainy
S005,South,P0085,Electronics,119,72.60,10.00,7775.46,NORMAL,Winter,Snowy
S003,South,P0129,Furniture,120,38.93,20.00,3737.28,NORMAL,Winter,Cloudy
S005,East,P0116,Furniture,120,35.52,10.00,3836.16,NORMAL,Winter,Cloudy
S003,East,P0094,Groceries,121,60.69,0.00,7343.49,NORMAL,Winter,Sunny
S004,East,P0017,Toys,121,45.13,10.00,4914.66,NORMAL,Winter,Sunny
S002,South,P0031,Electronics,122,35.92,5.00,4163.13,NORMAL,Winter,Sunny
S004,West,P0057,Clothing,122,16.05,5.00,1860.20,NORMAL,Winter,Cloudy
S001,South,P0096,Toys,123,42.73,0.00,5255.79,NORMAL,Winter,Rainy
S002,West,P0079,Furniture,123,15.55,10.00,1721.39,NORMAL,Winter,Snowy
S004,North,P0067,Furniture,123,61.69,0.00,7587.87,NORMAL,Winter,Rainy
S005,South,P0046,Clothing,123,32.93,10.00,3645.35,NORMAL,Winter,Snowy
S002,South,P0046,Clothing,124,58.94,5.00,6943.13,NORMAL,Winter,Cloudy
S002,South,P0116,Furniture,124,60.75,10.00,6779.70,NORMAL,Winter,Rainy
S004,North,P0187,Clothing,124,65.49,0.00,8120.76,NORMAL,Winter,Cloudy
S005,East,P0094,Groceries,124,64.68,10.00,7218.29,NORMAL,Winter,Rainy
S005,South,P0031,Electronics,124,71.76,20.00,7118.59,NORMAL,Winter,Snowy
S001,South,P0166,Groceries,125,71.90,10.00,8088.75,NORMAL,Winter,Rainy
S002,East,P0096,Toys,125,73.85,5.00,8769.69,NORMAL,Winter,Snowy
S005,West,P0166,Groceries,125,61.40,10.00,6907.50,NORMAL,Winter,Rainy
S001,West,P0116,Furniture,126,78.89,20.00,7952.11,NORMAL,Winter,Rainy
S003,North,P0057,Clothing,126,61.11,0.00,7699.86,NORMAL,Winter,Rainy
S003,South,P0166,Groceries,126,25.77,15.00,2759.97,NORMAL,Winter,Cloudy
S003,West,P0061,Clothing,126,97.36,10.00,11040.62,NORMAL,Winter,Snowy
S004,North,P0046,Clothing,126,12.63,5.00,1511.81,NORMAL,Winter,Snowy
S004,West,P0166,Groceries,126,89.11,15.00,9543.68,NORMAL,Winter,Rainy
S001,East,P0153,Furniture,127,45.33,10.00,5181.22,NORMAL,Winter,Snowy
S002,East,P0066,Clothing,127,38.02,0.00,4828.54,NORMAL,Winter,Rainy
S003,South,P0175,Electronics,127,78.00,0.00,9906.00,NORMAL,Winter,Snowy
S005,South,P0057,Clothing,127,33.26,20.00,3379.22,NORMAL,Winter,Snowy
S001,East,P0096,Toys,128,42.70,0.00,5465.60,NORMAL,Winter,Snowy
S001,North,P0085,Electronics,128,78.05,0.00,9990.40,NORMAL,Winter,Cloudy
S001,West,P0153,Furniture,128,63.24,10.00,7285.25,NORMAL,Winter,Sunny
S002,East,P0017,Toys,128,18.07,5.00,2197.31,NORMAL,Winter,Snowy
S004,East,P0067,Furniture,128,14.99,0.00,1918.72,NORMAL,Winter,Cloudy
S004,South,P0017,Toys,128,68.87,0.00,8815.36,NORMAL,Winter,Cloudy
S004,West,P0017,Toys,128,17.84,0.00,2283.52,NORMAL,Winter,Snowy
S005,North,P0070,Electronics,128,75.58,15.00,8223.10,NORMAL,Winter,Rainy
S005,West,P0116,Furniture,128,99.05,5.00,12044.48,NORMAL,Winter,Rainy
S005,West,P0149,Furniture,128,64.85,5.00,7885.76,NORMAL,Winter,Sunny
S001,South,P0085,Electronics,129,47.14,5.00,5777.01,NORMAL,Winter,Sunny
S002,East,P0159,Electronics,129,19.56,0.00,2523.24,NORMAL,Winter,Snowy
S004,South,P0079,Furniture,129,30.85,0.00,3979.65,NORMAL,Winter,Rainy
S005,East,P0129,Furniture,129,91.00,0.00,11739.00,NORMAL,Winter,Snowy
S001,North,P0149,Furniture,130,96.17,5.00,11877.00,NORMAL,Winter,Rainy
S002,North,P0171,Electronics,130,65.61,0.00,8529.30,NORMAL,Winter,Snowy
S002,South,P0149,Furniture,130,58.25,10.00,6815.25,NORMAL,Winter,Sunny
S004,South,P0187,Clothing,130,32.89,15.00,3634.35,NORMAL,Winter,Snowy
S004,West,P0070,Electronics,130,33.54,10.00,3924.18,NORMAL,Winter,Sunny
S004,West,P0096,Toys,130,77.17,10.00,9028.89,NORMAL,Winter,Sunny
S003,North,P0017,Toys,131,27.30,0.00,3576.30,NORMAL,Winter,Rainy
S003,West,P0149,Furniture,131,52.58,20.00,5510.38,NORMAL,Winter,Rainy
S005,East,P0183,Electronics,131,66.46,15.00,7400.32,NORMAL,Winter,Rainy
S005,West,P0068,Electronics,131,51.38,0.00,6730.78,NORMAL,Winter,Rainy
S001,West,P0057,Clothing,132,23.73,20.00,2505.89,NORMAL,Winter,Cloudy
S002,West,P0046,Clothing,132,17.54,5.00,2199.52,NORMAL,Winter,Rainy
S004,East,P0187,Clothing,132,97.66,0.00,12891.12,NORMAL,Winter,Sunny
S004,North,P0068,Electronics,132,52.15,10.00,6195.42,NORMAL,Winter,Sunny
S004,North,P0094,Groceries,132,34.71,15.00,3894.46,NORMAL,Winter,Rainy
S004,West,P0085,Electronics,132,77.66,10.00,9226.01,NORMAL,Winter,Sunny
S005,West,P0069,Clothing,132,21.83,0.00,2881.56,NORMAL,Winter,Sunny
S005,West,P0079,Furniture,132,20.72,5.00,2598.29,NORMAL,Winter,Snowy
S002,North,P0187,Clothing,133,98.74,0.00,13132.42,NORMAL,Winter,Cloudy
S002,West,P0171,Electronics,133,53.88,20.00,5732.83,NORMAL,Winter,Cloudy
S004,West,P0083,Toys,133,86.18,20.00,9169.55,NORMAL,Winter,Snowy
S005,North,P0085,Electronics,133,92.07,0.00,12245.31,NORMAL,Winter,Rainy
S005,North,P0129,Furniture,133,92.23,0.00,12266.59,NORMAL,Winter,Rainy
S001,East,P0125,Clothing,134,79.58,0.00,10663.72,NORMAL,Winter,Cloudy
S002,North,P0159,Electronics,134,11.34,10.00,1367.60,NORMAL,Winter,Sunny
S002,South,P0094,Groceries,134,59.40,15.00,6765.66,NORMAL,Winter,Rainy
S002,South,P0133,Clothing,134,97.94,5.00,12467.76,NORMAL,Winter,Rainy
S004,East,P0016,Clothing,134,52.11,10.00,6284.47,NORMAL,Winter,Snowy
S001,East,P0149,Furniture,135,25.78,5.00,3306.29,NORMAL,Winter,Rainy
S004,South,P0070,Electronics,135,43.56,15.00,4998.51,NORMAL,Winter,Cloudy
S001,East,P0068,Electronics,136,91.89,0.00,12497.04,NORMAL,Winter,Rainy
S001,East,P0159,Electronics,136,45.14,20.00,4911.23,NORMAL,Winter,Rainy
S002,South,P0125,Clothing,136,81.06,0.00,11024.16,NORMAL,Winter,Snowy
S003,East,P0166,Groceries,136,19.03,15.00,2199.87,NORMAL,Winter,Rainy
S003,South,P0116,Furniture,136,83.10,5.00,10736.52,NORMAL,Winter,Snowy
S003,West,P0079,Furniture,136,69.84,0.00,9498.24,NORMAL,Winter,Cloudy
S004,East,P0094,Groceries,136,16.84,0.00,2290.24,NORMAL,Winter,Snowy
S001,South,P0068,Electronics,137,32.16,0.00,4405.92,NORMAL,Winter,Snowy
S001,West,P0171,Electronics,137,59.38,0.00,8135.06,NORMAL,Winter,Sunny
S005,North,P0183,Electronics,137,54.63,0.00,7484.31,NORMAL,Winter,Snowy
S001,North,P0067,Furniture,138,95.54,0.00,13184.52,NORMAL,Winter,Snowy
S001,South,P0153,Furniture,138,85.30,15.00,10005.69,NORMAL,Winter,Sunny
S002,North,P0126,Clothing,138,65.78,10.00,8169.88,NORMAL,Winter,Cloudy
S004,East,P0068,Electronics,138,94.96,10.00,11794.03,NORMAL,Winter,Rainy
S004,North,P0017,Toys,138,97.11,10.00,12061.06,NORMAL,Winter,Rainy
S005,East,P0017,Toys,138,39.66,10.00,4925.77,NORMAL,Winter,Cloudy
S002,East,P0175,Electronics,139,66.92,5.00,8836.79,NORMAL,Winter,Cloudy
S005,North,P0171,Electronics,139,95.94,5.00,12668.88,NORMAL,Winter,Rainy
S003,South,P0126,Clothing,140,85.69,0.00,11996.60,NORMAL,Winter,Sunny
S002,South,P0166,Groceries,141,51.87,5.00,6947.99,NORMAL,Winter,Cloudy
S003,East,P0070,Electronics,141,24.10,0.00,3398.10,NORMAL,Winter,Cloudy
S003,West,P0171,Electronics,141,85.49,0.00,12054.09,NORMAL,Winter,Cloudy
S003,West,P0183,Electronics,141,39.03,5.00,5228.07,NORMAL,Winter,Cloudy
S001,East,P0175,Electronics,142,44.21,0.00,6277.82,NORMAL,Winter,Cloudy
S001,West,P0133,Clothing,142,45.25,5.00,6104.23,NORMAL,Winter,Sunny
S003,North,P0129,Furniture,142,20.81,10.00,2659.52,NORMAL,Winter,Rainy
S004,East,P0116,Furniture,142,14.66,5.00,1977.63,NORMAL,Winter,Sunny
S004,West,P0187,Clothing,142,34.57,10.00,4418.05,NORMAL,Winter,Rainy
S005,South,P0083,Toys,142,75.98,5.00,10249.70,NORMAL,Winter,Cloudy
S005,South,P0159,Electronics,142,99.93,0.00,14190.06,NORMAL,Winter,Sunny
S003,West,P0046,Clothing,143,20.95,10.00,2696.27,NORMAL,Winter,Sunny
S003,West,P0085,Electronics,143,44.05,10.00,5669.24,NORMAL,Winter,Snowy
S005,East,P0153,Furniture,143,51.83,0.00,7411.69,NORMAL,Winter,Rainy
S005,South,P0187,Clothing,143,88.52,5.00,12025.44,NORMAL,Winter,Snowy
S005,West,P0031,Electronics,143,71.41,0.00,10211.63,NORMAL,Winter,Rainy
S001,North,P0096,Toys,144,21.20,10.00,2747.52,NORMAL,Winter,Rainy
S004,North,P0031,Electronics,144,90.11,15.00,11029.46,NORMAL,Winter,Sunny
S004,North,P0079,Furniture,144,36.62,5.00,5009.62,NORMAL,Winter,Rainy
S001,South,P0031,Electronics,145,46.59,10.00,6080.00,NORMAL,Winter,Snowy
S003,South,P0125,Clothing,145,26.25,0.00,3806.25,NORMAL,Winter,Rainy
S003,South,P0153,Furniture,145,62.35,10.00,8136.68,NORMAL,Winter,Snowy
S004,East,P0166,Groceries,145,68.65,0.00,9954.25,NORMAL,Winter,Rainy
S001,East,P0031,Electronics,146,55.70,15.00,6912.37,NORMAL,Winter,Snowy
S002,South,P0066,Clothing,146,39.51,10.00,5191.61,NORMAL,Winter,Snowy
S004,East,P0066,Clothing,146,16.74,0.00,2444.04,NORMAL,Winter,Cloudy
S001,South,P0066,Clothing,147,18.41,5.00,2570.96,NORMAL,Winter,Sunny
S001,West,P0017,Toys,147,43.53,10.00,5759.02,NORMAL,Winter,Snowy
S003,North,P0149,Furniture,147,74.90,0.00,11010.30,NORMAL,Winter,Rainy
S005,South,P0171,Electronics,147,85.88,0.00,12624.36,NORMAL,Winter,Sunny
S001,East,P0069,Clothing,148,96.75,0.00,14319.00,NORMAL,Winter,Cloudy
S001,East,P0079,Furniture,148,33.54,5.00,4715.72,NORMAL,Winter,Sunny
S001,South,P0116,Furniture,148,22.22,0.00,3288.56,NORMAL,Winter,Rainy
S002,South,P0085,Electronics,148,77.63,0.00,11489.24,NORMAL,Winter,Sunny
S003,South,P0068,Electronics,148,87.13,0.00,12895.24,NORMAL,Winter,Rainy
S005,South,P0125,Clothing,148,13.40,0.00,1983.20,NORMAL,Winter,Cloudy
S003,East,P0183,Electronics,149,30.06,5.00,4254.99,NORMAL,Winter,Sunny
S004,South,P0085,Electronics,149,11.18,10.00,1499.24,NORMAL,Winter,Cloudy
S005,East,P0068,Electronics,149,56.41,5.00,7984.84,NORMAL,Winter,Sunny
S002,East,P0149,Furniture,150,44.33,0.00,6649.50,NORMAL,Winter,Sunny
S002,West,P0187,Clothing,150,24.56,0.00,3684.00,NORMAL,Winter,Cloudy
S004,North,P0166,Groceries,150,40.96,20.00,4915.20,NORMAL,Winter,Snowy
S004,South,P0066,Clothing,150,22.48,15.00,2866.20,NORMAL,Winter,Cloudy
S005,North,P0061,Clothing,150,20.27,10.00,2736.45,NORMAL,Winter,Rainy
S001,East,P0017,Toys,151,69.50,10.00,9445.05,NORMAL,Winter,Sunny
S001,North,P0031,Electronics,151,39.08,5.00,5606.03,NORMAL,Winter,Sunny
S001,West,P0096,Toys,151,97.84,0.00,14773.84,NORMAL,Winter,Snowy
S004,North,P0183,Electronics,151,79.23,15.00,10169.17,NORMAL,Winter,Rainy
S005,West,P0016,Clothing,151,94.21,15.00,12091.85,NORMAL,Winter,Snowy
S001,East,P0083,Toys,152,44.63,20.00,5427.01,NORMAL,Winter,Snowy
S002,North,P0057,Clothing,153,47.09,10.00,6484.29,NORMAL,Winter,Cloudy
S005,South,P0067,Furniture,153,98.95,20.00,12111.48,NORMAL,Winter,Cloudy
S002,North,P0069,Clothing,154,29.95,10.00,4151.07,NORMAL,Winter,Rainy
S003,East,P0057,Clothing,154,49.22,5.00,7200.89,NORMAL,Winter,Cloudy
S003,East,P0187,Clothing,154,25.64,0.00,3948.56,NORMAL,Winter,Rainy
S005,West,P0153,Furniture,154,51.10,5.00,7475.93,NORMAL,Winter,Snowy
S001,North,P0129,Furniture,155,30.73,0.00,4763.15,NORMAL,Winter,Cloudy
